Severity,Status,Category,Issues,Explanation,Affected Area,Evidence,Potential Impact,Recommended Remediation
High,Open,Unbounded response buffering,External response bodies are copied fully into memory,Responses from another system are sometimes completely downloaded into memory before being processed.,PhcAutomatedRestController; SubmitVirtualClaimOnCheckout; FHIR message converters,Input streams are converted into strings or ByteArrayOutputStream without an explicit maximum response size,Large or malicious upstream responses can exhaust heap and increase GC latency,Enforce response-size limits; stream parsable content; reject bodies above configured limits
High,Open,Large object storage,Attachment blobs are loaded and written as complete byte arrays,Claim attachments are handled as one big block rather than being transferred gradually.,VirtualClaimsRestController,getFileBlob is materialized and written directly; length and content use the full byte array,Large attachments and concurrent downloads consume substantial heap and database bandwidth,Stream blobs through a bounded response; enforce upload/download size limits and consider external object storage
High,Open,Export heap pressure,Claim PDF generation buffers complete documents,Claim PDFs are fully generated in RAM before being saved/sent.,AutoClaimPdfExporter,PDF output is rendered into ByteArrayOutputStream before persistence or delivery,Concurrent or large PDF generation produces allocation spikes and potential OutOfMemoryError,Stream to temporary files or bounded output; limit concurrent PDF jobs and document size
High,Open,N+1 database access,Overview processing loads all bills separately for each patient,"When preparing an overview, KenyaEMR asks the database separately for each patient's bills.",OverviewRestController,getAllBillsForPatient(patient) is invoked in patient-oriented processing,Database round trips grow with the number of patients in the overview,Bulk-load bills for the relevant patient IDs and group them in memory
Medium,Open,Unbounded reference loading,Controller loads every user for display or selection,Some screens/processes retrieve every user or provider even when only a small number are required.,InsuranceClaimsController,userService.getAllUsers is called for the controller response,Request cost and retained entity count grow with user population,Query only required users and fields; paginate searchable selections
Medium,Open,Unbounded provider loading,Provider paths retrieve every provider,Background claim synchronization can run for a long time while holding database/application resources.,ClaimFormServiceImpl; PullHIEProviderDetailsTask,getAllProviders is used and ClaimFormServiceImpl selects the first provider from the full list,Unnecessary entity loading and scheduler heap use on installations with many providers,Use a targeted provider query and batch provider synchronization
High,Open,Scheduler memory and duration,Claim synchronization requires lifecycle and batch verification,Finding one intervention may require one request followed by several more requests to the external service.,InsuranceClaimsSyncTask; PullHieClaimResponseTask; PullClaimResponsesTask,Tasks manually open and close OpenMRS sessions and perform remote plus database work; one sync path is paged but failure and batch boundaries require validation,Long sessions can retain entities and connections; failures may delay cleanup or repeat large work,Use bounded pages and transactions; flush and clear between batches; always close context in finally; record checkpoints
Medium,Open,Remote-call amplification,Intervention discovery performs one plus N upstream calls on cache miss,"If several users request the same expired information simultaneously, they may all independently ask the external system for it.",InterventionDocTypeCatalog,lookupByInterventionCode fetches sub-benefits and then queries each sub-benefit until a matching intervention is found,High latency and upstream load for patients with many sub-benefits; cache misses can create request storms,Use a bulk upstream endpoint; coalesce concurrent cache misses; add negative-cache and request-rate metrics
Medium,Open,Cache stampede,Concurrent cache misses can issue duplicate upstream requests,,VirtualClaimsRestController; InterventionDocTypeCatalog,ConcurrentHashMap get followed by remote fetch and put is not single-flight,Many simultaneous requests for the same expired key can duplicate expensive external calls,Use cache loader single-flight semantics or per-key futures with timeout and failure cleanup
Medium,Open,Logging overhead,Synchronous System.out logging occurs on hot request and idempotency paths,Normal claim operations print a lot of information directly to the console.,IdempotencyServiceImpl; InsuranceClaimResourceController; integration utilities,"Request IDs, cache outcomes, response sizes, and normal operations are printed directly","Blocking console I/O, noisy logs, and accidental sensitive-data exposure under load",Use structured parameterized logging with appropriate levels and redaction
Medium,Requires runtime validation,Database indexing,Claim finder and state queries require index verification,,InsuranceClaimDaoImpl; VirtualClaimDaoImpl; VirtualClaimBillLineServiceImpl,"Queries filter by UUID, patient, bill, authorization code, upstream IDs, state, voided flags, and dates","Missing composite indexes can cause full scans, sorting, and database CPU or I/O saturation",Capture EXPLAIN ANALYZE plans and slow-query logs using production-scale data; add measured composite indexes
Medium,Open,ORM graph size,Full claim representations include bills and multiple child collections,Some common claim searches may not have the best database shortcuts.,ClaimResource,"Full representation includes bill, interventions, intervention details, invoices, packages, and errors","Pagination alone may still produce large queries, lazy-load N+1 behavior, and large JSON responses","Use purpose-specific DTO projections, cap page size, avoid eager full graphs, and batch-fetch only required relations"
Medium,Open,Database and heap efficiency,InsuranceClaimService visit lookup loads every claim,"Requesting a claim can also bring bills, interventions, invoices, packages, errors and other related information.",InsuranceClaimServiceImpl,getInsuranceClaimByVisitUuid retrieves all claims and filters in Java,Linear query and heap cost for a lookup expected to return one claim,Add a DAO query on visit UUID with voided and authorization-code predicates plus an index
Medium,Bounded but monitor,Static lookup map,Regulator-code map is static,,ClaimsUtils,REGULATOR_CODES_BY_NAME is a fixed initialization-time lookup rather than request-derived data,Key space appears bounded and is not a current memory leak,Make it immutable and confirm no runtime mutation; no urgent performance change required
