Edge ID,Module,Scenario,Precondition,Steps,Expected Result,Priority,Execution Safety,Related Workbook Area,Automation State
EDGE-016,Patient Chart,Rapid patient switching does not mix data,Two de-identified synthetic charts available,"Open chart A; immediately navigate to chart B before requests settle","All displayed demographics and panels belong to B; stale A requests cannot populate B",Critical,Sensitive read-only fixture,06_Patient_Chart,Proposed - not automated
EDGE-017,Laboratory,Retry of lab order after ambiguous timeout,Synthetic visit and mock delay available,"Submit lab order; delay response; retry after timeout","At most one order is created or duplicates are explicitly reconciled",Critical,Synthetic clinical write; approval and cleanup,07_Laboratory,Proposed - not automated
EDGE-018,Laboratory,Sample identifier collision handling,Two synthetic samples and controlled identifier fixture available,"Create samples while forcing an identifier collision in isolated QA","Identifier uniqueness is maintained; collision produces a recoverable error",High,Synthetic lab write; approval and cleanup,07_Laboratory,Proposed - not automated
EDGE-019,Pharmacy,Concurrent dispense with limited stock,Two synthetic prescriptions and a small isolated stock fixture available,"Two operators attempt to dispense the remaining stock concurrently","Final stock cannot be negative; dispensing is serialized or one attempt is rejected",Critical,Synthetic dispensing write; approval and stock cleanup,08_Pharmacy,Proposed - not automated
EDGE-020,Pharmacy,Partial dispense remainder is consistent,Synthetic prescription and stock fixture available,"Dispense a partial quantity; reopen the prescription","Remaining quantity and stock match the persisted transaction; no double counting",High,Synthetic dispensing write; approval and cleanup,08_Pharmacy,Proposed - not automated
EDGE-021,Admissions,Concurrent allocation of one available bed,One isolated synthetic bed and two synthetic patients available,"Two operators allocate the same bed simultaneously","Only one active admission owns the bed; the other receives a clear conflict",Critical,Synthetic admission write; approval and cleanup,09_Admissions,Proposed - not automated
EDGE-022,MCH,Missing or boundary age data in growth chart,Synthetic child record with approved reference data available,"Open growth chart with missing DOB and around approved age-band boundaries","Chart does not invent an age or percentile; band selection matches approved clinical reference",High,Sensitive clinical fixture; threshold review,10_MCH,Proposed - not automated
EDGE-023,Imaging,Unsupported or oversized upload is blocked,Isolated synthetic imaging order and harmless test files available,"Select unsupported type and file above configured size limit before upload","Client and server reject unsupported input; no partial attachment is exposed",High,Synthetic upload write; approval and cleanup,11_Imaging,Proposed - not automated
EDGE-024,Procedures,Missing or expired consent,Isolated synthetic procedure case available,"Attempt scheduling or completion without valid consent","Workflow blocks or escalates according to approved consent policy and records a clear reason",Critical,Synthetic clinical write; consent policy review,12_Procedures,Proposed - not automated
EDGE-025,Billing,Rounding across items and partial payment,Isolated synthetic invoice with approved currency rules available,"Create multiple fractional-price items; apply a partial payment; inspect totals","Line totals, tax, paid amount, and balance reconcile to approved rounding policy",Critical,Synthetic financial write; approval and cleanup,13_Billing,Proposed - not automated
EDGE-026,Billing,Payment retry cannot double-charge,Payment sandbox and isolated invoice available,"Delay payment response; retry same payment intent","At most one payment is posted; status is reconciled without double charge",Critical,Financial write; payment sandbox approval,13_Billing,Proposed - not automated
EDGE-027,Reports,Timezone and inclusive date boundaries,De-identified records near local midnight available,"Generate report for adjacent date ranges crossing Africa/Nairobi midnight","Each record appears in the correct period exactly once according to report date semantics",High,Sensitive read-only fixture,14_Reports and 17_EHR_Reports,Proposed - not automated
EDGE-028,Reports,Empty export and role-restricted fields,Empty seeded interval and low-privilege account available,"Export an empty report; repeat under restricted role","Empty export is explicit; restricted columns and patient identifiers are not leaked",Critical,Sensitive export; role approval,14_Reports and 17_EHR_Reports,Proposed - not automated
EDGE-029,System,Role revocation takes effect in active session,Two synthetic accounts with managed roles available,"Revoke one role while account is signed in; attempt protected route and action","New authorization is enforced within approved propagation time; cached UI/API do not grant access",Critical,Synthetic account-role write; admin approval and cleanup,15_System,Proposed - not automated
EDGE-030,Partograph,Out-of-order and duplicate observation times,Synthetic labor case and approved time rules available,"Enter observations with duplicate and decreasing times; inspect graph before save","Invalid chronology is rejected or reconciled per clinical policy; graph remains traceable",Critical,Synthetic clinical write; clinical policy review,16_Partograph,Proposed - not automated
EDGE-031,Partograph,Exact threshold values versus one unit beyond,Synthetic labor case and signed-off clinical thresholds available,"Test each approved threshold exactly and one allowed unit on either side","Alert and color classifications match the signed-off clinical rules, including inclusive/exclusive boundaries",Critical,Synthetic clinical write; clinical policy review,16_Partograph,Proposed - not automated
EDGE-032,HIV Reports,Small-cell confidentiality and role restrictions,De-identified HIV report fixture and restricted role available,"Generate aggregate report with a small cell; export under different roles","Suppression and export permissions follow approved confidentiality policy; no identifying data is disclosed",Critical,Sensitive read-only export; privacy policy review,18_HIV_Reports,Proposed - not automated
